"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 22 17:32:41 CST 2020","Fri May 22 17:32:41 CST 2020","396","testcases","注册","TestTegister","","","注册成功-不带类型和注册名","注册成功"
"passed","Fri May 22 17:32:41 CST 2020","Fri May 22 17:32:41 CST 2020","369","testcases","注册","TestTegister","","","注册成功-不带注册名","注册成功"
"passed","Fri May 22 17:32:40 CST 2020","Fri May 22 17:32:40 CST 2020","397","testcases","注册","TestTegister","","","注册成功","注册成功"
"passed","Fri May 22 17:32:40 CST 2020","Fri May 22 17:32:41 CST 2020","384","testcases","注册","TestTegister","","","注册成功-不带类型","注册成功"
