2020-05-15 16:41:18,492 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带类型和注册名,测试通过
2020-05-15 16:42:14,413 - [test_demo1.py-->line:72] - INFO: 用例注册成功,测试通过
2020-05-15 16:42:14,772 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带类型,测试通过
2020-05-15 16:42:15,125 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带注册名,测试通过
2020-05-15 16:42:15,476 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带类型和注册名,测试通过
2020-05-15 16:44:16,800 - [test_demo1.py-->line:72] - INFO: 用例注册成功,测试通过
2020-05-15 16:44:17,157 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带类型,测试通过
2020-05-15 16:44:17,522 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带注册名,测试通过
2020-05-15 16:44:17,875 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带类型和注册名,测试通过
2020-05-15 16:44:38,927 - [test_demo1.py-->line:72] - INFO: 用例注册成功,测试通过
2020-05-15 16:44:39,297 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带类型,测试通过
2020-05-15 16:44:39,642 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带注册名,测试通过
2020-05-15 16:44:40,000 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带类型和注册名,测试通过
2020-05-15 17:22:18,408 - [test_demo1.py-->line:72] - INFO: 用例注册成功,测试通过
2020-05-15 17:22:18,782 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带类型,测试通过
2020-05-15 17:22:19,147 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带注册名,测试通过
2020-05-15 17:22:19,523 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带类型和注册名,测试通过
2020-05-20 14:32:03,379 - [test_demo1.py-->line:72] - INFO: 用例注册成功,测试通过
2020-05-20 14:32:03,788 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带类型,测试通过
2020-05-20 14:32:04,286 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带注册名,测试通过
2020-05-20 14:32:04,654 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带类型和注册名,测试通过
2020-05-20 14:35:14,798 - [test_demo1.py-->line:72] - INFO: 用例注册成功,测试通过
2020-05-20 14:35:15,166 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带类型,测试通过
2020-05-20 14:35:15,570 - [test_demo1.py-->line:72] - INFO: 用例注册成功-不带注册名,测试通过
